Minute,Forecast_SM
1,0.43434247
2,0.4341275
3,0.4335004
4,0.4331704
5,0.43261427
6,0.43232876
7,0.4324916
8,0.43219465
9,0.43208224
10,0.43207574
11,0.43275183
12,0.43312138
13,0.43357903
14,0.43405133
15,0.4344532
16,0.43466693
17,0.43462536
18,0.4348725
19,0.43506247
20,0.43526936
21,0.43544766
22,0.4352364
23,0.4346815
24,0.4342523
25,0.4335607
26,0.43338364
27,0.43305385
28,0.4329541
29,0.4327728
30,0.43294835
31,0.43635333
32,0.4362122
33,0.4357576
34,0.43605956
35,0.43615988
36,0.4363968
37,0.43648183
38,0.43648437
39,0.4362978
40,0.43596974
41,0.43497616
42,0.4349481
43,0.4350163
44,0.4347447
45,0.43401352
46,0.4333364
47,0.43300295
48,0.4326325
49,0.43249664
50,0.4324522
51,0.43290764
52,0.43247405
53,0.43238196
54,0.4323136
55,0.43249482
56,0.43275478
57,0.4328584
58,0.43313575
59,0.43335688
60,0.4333345
61,0.4345181
62,0.4341572
63,0.43377754
64,0.43366933
65,0.43348777
66,0.43329573
67,0.43344516
68,0.43338498
69,0.43317124
70,0.43292838
71,0.4337342
72,0.43358526
73,0.43328705
74,0.4334227
75,0.43338543
76,0.4332708
77,0.4330828
78,0.4329676
79,0.4332548
80,0.4331998
81,0.43450642
82,0.43441412
83,0.43440026
84,0.43434036
85,0.43414757
86,0.43361932
87,0.43332824
88,0.43284607
89,0.43230507
90,0.43192115
91,0.43344036
92,0.4324495
93,0.43198422
94,0.43155503
95,0.4315929
96,0.431601
97,0.43182662
98,0.43199837
99,0.43224344
100,0.43234408
101,0.43352783
102,0.43335953
103,0.4333095
104,0.4333993
105,0.4332209
106,0.4330961
107,0.4329369
108,0.43276465
109,0.4326779
110,0.43233237
111,0.43216
112,0.4317814
113,0.43185827
114,0.43173003
115,0.43184525
116,0.43160006
117,0.43155715
118,0.43125457
119,0.43135244
120,0.4310552
121,0.43337902
122,0.43269873
123,0.43255603
124,0.4323577
125,0.43221
126,0.43169308
127,0.43195033
128,0.43167186
129,0.43164924
130,0.43155298
131,0.43208662
132,0.43172508
133,0.431792
134,0.43179473
135,0.43207604
136,0.43206263
137,0.43208143
138,0.43211874
139,0.43238822
140,0.43239498
141,0.43354768
142,0.43296763
143,0.4326519
144,0.4324798
145,0.4322432
146,0.4320199
147,0.4322285
148,0.43221906
149,0.43208376
150,0.43173134
151,0.4342415
152,0.43358326
153,0.4333673
154,0.43330196
155,0.4333689
156,0.4331121
157,0.43286657
158,0.43251613
159,0.43241107
160,0.43196762
161,0.43231705
162,0.4322733
163,0.4325876
164,0.43261412
165,0.432615
166,0.432302
167,0.43250856
168,0.4323064
169,0.43244952
170,0.4324128
171,0.43341112
172,0.43222964
173,0.43215436
174,0.4318024
175,0.43201458
176,0.4317567
177,0.43182805
178,0.4317984
179,0.4319085
180,0.4320841
181,0.43251508
182,0.43246922
183,0.43231952
184,0.43232253
185,0.4323321
186,0.43248245
187,0.4327044
188,0.4327382
189,0.43273407
190,0.4324463
191,0.43453386
192,0.43393567
193,0.43373317
194,0.43380654
195,0.43381524
196,0.43333617
197,0.43333468
198,0.4331108
199,0.43317938
200,0.4330184
201,0.43307275
202,0.4333541
203,0.43380654
204,0.4336117
205,0.4337633
206,0.43363696
207,0.43417615
208,0.43418244
209,0.43432128
210,0.4343022
211,0.43508396
212,0.43432465
213,0.43387365
214,0.4334818
215,0.43267232
216,0.42865494
217,0.4267471
218,0.4241343
219,0.42433617
220,0.4259848
221,0.42558926
222,0.424052
223,0.42377448
224,0.4230389
225,0.4242153
226,0.42344433
227,0.42460394
228,0.42615047
229,0.42389336
230,0.42219558
231,0.4227164
232,0.4223099
233,0.42322174
234,0.4218416
235,0.4223975
236,0.42392802
237,0.42185423
238,0.42075643
239,0.42042285
240,0.4196214
241,0.42154184
242,0.4183426
243,0.41590142
244,0.40893444
245,0.40557054
246,0.4011479
247,0.39927322
248,0.39808628
249,0.39928228
250,0.3965367
251,0.39947882
252,0.39792168
253,0.39597625
254,0.39628816
255,0.39550155
256,0.39654183
257,0.39801952
258,0.39513296
259,0.3966404
260,0.3973671
261,0.39560753
262,0.3953815
263,0.3953716
264,0.39722598
265,0.39777598
266,0.39456618
267,0.39610472
268,0.39671764
269,0.39505056
270,0.39474136
271,0.39822155
272,0.39630088
273,0.39607495
274,0.39395168
275,0.39417255
276,0.39314997
277,0.3937478
278,0.3939031
279,0.39379424
280,0.39323944
281,0.39435038
282,0.39393383
283,0.39385617
284,0.39362794
285,0.39362004
286,0.39450392
287,0.39409027
288,0.39438707
289,0.3946948
290,0.394063
291,0.39461324
292,0.39483333
