Minute,Forecast_SM
1,0.43538335
2,0.43397245
3,0.43353352
4,0.43341324
5,0.43337062
6,0.43333486
7,0.43333212
8,0.43335918
9,0.43338004
10,0.4333496
11,0.4352217
12,0.43404952
13,0.43375573
14,0.43371674
15,0.43373713
16,0.43375868
17,0.43378
18,0.43382764
19,0.4339275
20,0.43405184
21,0.43406695
22,0.43403006
23,0.43401793
24,0.4339965
25,0.43399197
26,0.43399656
27,0.43398604
28,0.4339546
29,0.4339147
30,0.4338729
31,0.4338451
32,0.4338424
33,0.4338633
34,0.4338812
35,0.43387282
36,0.43387848
37,0.43390387
38,0.43393478
39,0.43395483
40,0.433965
41,0.43396825
42,0.43397167
43,0.4339666
44,0.43395227
45,0.43393868
46,0.4339276
47,0.43390855
48,0.43387955
49,0.43385187
50,0.43383795
51,0.4338261
52,0.43379882
53,0.4338007
54,0.43381128
55,0.4338177
56,0.43382657
57,0.43385977
58,0.43391097
59,0.43395227
60,0.4339774
61,0.4339979
62,0.43402815
63,0.43403062
64,0.43402362
65,0.43401828
66,0.4340115
67,0.43397987
68,0.4339587
69,0.433952
70,0.43394828
71,0.43394467
72,0.43393913
73,0.43393213
74,0.43392512
75,0.43391946
76,0.43391418
77,0.43391073
78,0.43390927
79,0.43390578
80,0.43389842
81,0.43389302
82,0.4338998
83,0.43390784
84,0.43391353
85,0.43391663
86,0.4339163
87,0.4339137
88,0.4339088
89,0.43390605
90,0.43390697
91,0.43390623
92,0.4339039
93,0.43389294
94,0.43388924
95,0.43388534
96,0.43387917
97,0.4338723
98,0.4338677
99,0.43386662
100,0.43387076
101,0.43388146
102,0.43388456
103,0.43389043
104,0.4338943
105,0.43389824
106,0.43390372
107,0.43391028
108,0.43391585
109,0.43391812
110,0.43391752
111,0.43391687
112,0.43391645
113,0.43391463
114,0.4339145
115,0.43391564
116,0.43391696
117,0.43391836
118,0.43392006
119,0.43392283
120,0.43392584
121,0.43392634
122,0.43392646
123,0.4339265
124,0.4339264
125,0.43392625
126,0.4339261
127,0.43392602
128,0.43392593
129,0.43392587
130,0.43392572
131,0.4339257
132,0.43392584
133,0.43392596
134,0.43392614
135,0.4339263
136,0.4339265
137,0.43392667
138,0.43392682
139,0.4339269
140,0.43392697
141,0.43392703
142,0.43392703
143,0.433927
144,0.43392697
145,0.43392688
146,0.43392682
147,0.43392673
148,0.4339267
149,0.4339267
150,0.4339267
151,0.43392673
152,0.4339268
153,0.4339268
154,0.43392685
155,0.43392688
156,0.4339269
157,0.433927
158,0.43392703
159,0.43392706
160,0.4339271
161,0.43392712
162,0.43392718
163,0.4339272
164,0.4339272
165,0.43392718
166,0.43392718
167,0.43392712
168,0.43392712
169,0.4339271
170,0.43392706
171,0.43392703
172,0.433927
173,0.433927
174,0.43392697
175,0.43392697
176,0.4339269
177,0.4339269
178,0.4339269
179,0.4339269
180,0.4339269
181,0.4339269
182,0.4339269
183,0.43392697
184,0.43392697
185,0.43392697
186,0.43392697
187,0.43392697
188,0.43392697
189,0.43392697
190,0.4339269
191,0.4339269
192,0.4339269
193,0.4339269
194,0.43392688
195,0.4339269
196,0.4339269
197,0.4339269
198,0.4339269
199,0.4339269
200,0.43392697
201,0.43392697
202,0.43392697
203,0.43392697
204,0.43392697
205,0.43392697
206,0.43392697
207,0.43392697
208,0.43392697
209,0.43392697
210,0.43392697
211,0.43392697
212,0.43392697
213,0.43392697
214,0.43392697
215,0.43392697
216,0.43392697
217,0.43392697
218,0.43392697
219,0.43392697
220,0.433927
221,0.433927
222,0.43392697
223,0.43392697
224,0.43392697
225,0.43392697
226,0.43392697
227,0.43392697
228,0.43392697
229,0.43392697
230,0.43392697
231,0.43392697
232,0.43392697
233,0.43392697
234,0.43392697
235,0.43392697
236,0.43392697
237,0.43392697
238,0.43392697
239,0.43392697
240,0.43392697
241,0.43392697
242,0.43392697
243,0.43392697
244,0.43392697
245,0.43392697
246,0.43392697
247,0.43392697
248,0.43392697
249,0.43392697
250,0.43392697
251,0.43392697
252,0.43392697
253,0.43392697
254,0.43392697
255,0.43392697
256,0.43392697
257,0.43392697
258,0.43392697
259,0.43392697
260,0.43392697
261,0.43392697
262,0.43392697
263,0.43392697
264,0.43392697
265,0.43392697
266,0.43392697
267,0.43392697
268,0.43392697
269,0.43392697
270,0.43392697
271,0.43392697
272,0.43392697
273,0.43392697
274,0.43392697
275,0.43392697
276,0.43392697
277,0.43392697
278,0.43392697
279,0.43392697
280,0.43392697
281,0.43392697
282,0.43392697
283,0.43392697
284,0.43392697
285,0.43392697
286,0.43392697
287,0.43392697
288,0.43392697
289,0.43392697
290,0.43392697
291,0.43392697
292,0.43392697
293,0.43392697
294,0.43392697
295,0.43392697
296,0.43392697
297,0.43392697
298,0.43392697
299,0.43392697
300,0.43392697
301,0.43392697
302,0.43392697
303,0.43392697
304,0.43392697
305,0.43392697
306,0.43392697
307,0.43392697
308,0.43392697
309,0.43392697
310,0.43392697
311,0.43392697
312,0.43392697
313,0.43392697
314,0.43392697
315,0.43392697
316,0.43392697
317,0.43392697
318,0.43392697
319,0.43392697
320,0.43392697
321,0.43392697
322,0.43392697
323,0.43392697
324,0.43392697
325,0.43392697
326,0.43392697
327,0.43392697
328,0.43392697
329,0.43392697
330,0.43392697
331,0.43392697
332,0.43392697
333,0.43392697
334,0.43392697
335,0.43392697
336,0.43392697
337,0.43392697
338,0.43392697
339,0.43392697
340,0.43392697
341,0.43392697
342,0.43392697
343,0.43392697
344,0.43392697
345,0.43392697
