Minute,Forecast_SM
1,0.43441975
2,0.43372196
3,0.43401137
4,0.4340127
5,0.43396038
6,0.4338015
7,0.43369654
8,0.43349674
9,0.43392572
10,0.433988
11,0.4336794
12,0.43338346
13,0.4335129
14,0.433561
15,0.43321696
16,0.43330318
17,0.43336612
18,0.43360797
19,0.43374723
20,0.43364072
21,0.43399382
22,0.43355632
23,0.43387192
24,0.43446025
25,0.4343391
26,0.43407667
27,0.43391097
28,0.43390158
29,0.4335577
30,0.4330216
31,0.43278095
32,0.4330232
33,0.43291277
34,0.4330087
35,0.4333333
36,0.43355134
37,0.43370247
38,0.43376392
39,0.43409428
40,0.43440902
41,0.43472713
42,0.43499666
43,0.43476188
44,0.43435416
45,0.43408814
46,0.43406576
47,0.43404755
48,0.43380603
49,0.43326506
50,0.43280533
51,0.43164814
52,0.43228853
53,0.43249875
54,0.43247437
55,0.43289092
56,0.43321544
57,0.4334657
58,0.4336564
59,0.43386146
60,0.43369094
61,0.43456653
62,0.43383646
63,0.43386236
64,0.43384776
65,0.43384874
66,0.43386507
67,0.43373123
68,0.43357548
69,0.43369457
70,0.4335839
71,0.43342438
72,0.43407473
73,0.43367243
74,0.43357086
75,0.4333393
76,0.4332439
77,0.43347237
78,0.43353683
79,0.43386933
80,0.43400446
81,0.43397057
82,0.4339622
83,0.43406057
84,0.43446612
85,0.43456212
86,0.43429142
87,0.43413645
88,0.43391737
89,0.43389264
90,0.43404812
91,0.43342748
92,0.43365082
93,0.43355
94,0.43322495
95,0.43315488
96,0.4331354
97,0.43332118
98,0.43352833
99,0.43346578
100,0.43357423
101,0.4343506
102,0.4335501
103,0.4330873
104,0.43303493
105,0.43317094
106,0.4333119
107,0.43330917
108,0.4331339
109,0.4332486
110,0.43328172
111,0.43384427
112,0.43387657
113,0.43377763
114,0.4336152
115,0.43357533
116,0.43362415
117,0.43382013
118,0.4339656
119,0.4336665
120,0.4336901
121,0.43369535
122,0.43392143
123,0.43392247
124,0.43367526
125,0.43357688
126,0.43338305
127,0.43330848
128,0.43310475
129,0.43334427
130,0.4337607
131,0.43433166
132,0.43377113
133,0.43380094
134,0.43336114
135,0.43325946
136,0.43330252
137,0.4332903
138,0.433553
139,0.4335819
140,0.43354654
141,0.4334088
142,0.43345723
143,0.4336206
144,0.43432966
145,0.4340568
146,0.43391013
147,0.43395483
148,0.433748
149,0.43365964
150,0.4336676
151,0.43409556
152,0.43388906
153,0.43357602
154,0.43330085
155,0.43316188
156,0.43305203
157,0.43283755
158,0.43286386
159,0.43282118
160,0.43292347
161,0.43307945
162,0.43303376
163,0.43318427
164,0.4333249
165,0.43355203
166,0.43368086
167,0.4334132
168,0.43329358
169,0.4329589
170,0.43301028
171,0.43269423
172,0.4328152
173,0.4326781
174,0.43260884
175,0.43287972
176,0.43320444
177,0.43359753
178,0.4338009
179,0.4334936
180,0.43319768
181,0.43392178
182,0.43320096
183,0.43319046
184,0.43330678
185,0.43334594
